message,type,appropriate,reasons
is there an email i can use to share?,student,FALSE,"{ ""reasons"": { ""safety"": [] } }"
lotusjayden@gmail.com,volunteer,FALSE,"{""reasons"": { ""email"": [""lotusjayden@gmail.com""] } }"
testing profanity - 5hit,student,FALSE,"{""reasons"": {""profanity"": [""5hit""] } }"
Hoy chupa culo,student,FALSE,"{""reasons"": {""profanity"": [""culo""] } }"
ass,student,FALSE,"{""reasons"": {""profanity"": [""ass""] } }"
-82.32214243,volunteer,TRUE,
11.\ 2111025509,student,TRUE,
You can become a citizen through the naturalization process. You can become a citizen through the naturalization process.   You can never be a legal citizen. You can never be a legal citizen.   You have to learn English to be a citizen.,student,TRUE,
You can become a citizen through the naturalization process.   You can never be a legal citizen. You can never be a legal citizen.   You have to learn English to be a citizen.,student,TRUE,
"Im doing great, what about you",volunteer,TRUE,
Awesome! I’m doing good too,student,TRUE,
do you mind helping me,student,TRUE,
yes okay,volunteer,TRUE,
I forgot what to do,student,TRUE,
which question?,volunteer,TRUE,
#1 a,student,TRUE,
Okay so 22.4Litres of a gas contains 1 mole,volunteer,TRUE,
use simple methods to find out how many moles 40 L would have,volunteer,TRUE,
Yep,student,TRUE,
22.4L=1 mole,volunteer,TRUE,
1 Litre= 1/22.4 moles,volunteer,TRUE,
Is this rigjt,student,TRUE,
right,student,TRUE,
right,volunteer,TRUE,
no,volunteer,TRUE,
no,student,TRUE,
it would be 1/22.4,volunteer,TRUE,
correct,volunteer,TRUE,
So is the answer 2 moles,student,TRUE,
i rounded by the way,student,TRUE,
approximately yeah,volunteer,TRUE,
Yay thank you so much,student,TRUE,
it would be less than 2 moles but you can roundoff if you want,volunteer,TRUE,
what about the next problem,student,TRUE,
Okay so,volunteer,TRUE,
how many molecules are there in 1 mole?,volunteer,TRUE,
Uhh 6.02x10^23,student,TRUE,
6.02x10^23 molecules = 1 mole,volunteer,TRUE,
1 molecule= 1/6.02*10^23,volunteer,TRUE,
Is this right,student,TRUE,
yeah,volunteer,TRUE,
yeah,student,TRUE,
I got 88538.20598,student,TRUE,
are your calculations right?,volunteer,TRUE,
Um I think,student,TRUE,
i don’t know,student,TRUE,
see,volunteer,TRUE,
deal with the powers of 10 first,volunteer,TRUE,
what did you get by dividing 10^28 by 10^32,volunteer,TRUE,
I don’t get what you mean,student,TRUE,
I’m putting this in my calculator,student,TRUE,
Not doing the math in the head,student,TRUE,
Okayy,volunteer,TRUE,
Um so what do I do,student,TRUE,
are you using your calculator?,volunteer,TRUE,
Yeah but I don’t know if I’m putting it in right,student,TRUE,
you just have to divide 5.33 value by 6.02 value,volunteer,TRUE,
